userId,movieId,rating
46645,4,4.0
12778,4,3.5
58802,4,4.0
79601,4,4.0
121052,4,3.0
76630,4,2.5
94175,4,3.0
4215,4,4.0
42290,4,3.0
117905,4,2.0
11843,4,4.0
45015,4,3.0
11,98,5.0
108195,1,2.0
104037,1,3.5
137805,1,3.5
92861,1,2.5
127453,1,1.0
76630,1,3.0
42124,1,2.5
45015,1,3.0
10055,1,2.0
69335,1,4.0
95524,1,3.5
96370,1,3.0
22352,1,2.5
20028,1,3.0
127138,1,3.0
53680,1,3.5
98494,1,3.5
14437,1,3.5
131910,1,3.0
9197,1,3.0
12882,2,5.0
320,2,4.0
62046,2,4.0
18127,2,3.0
17318,2,5.0
69519,2,4.0
124823,2,0.5
115611,2,3.5
8932,2,5.0
48821,2,4.0
65155,2,4.0
108195,2,4.5
137609,2,5.0
100277,2,5.0
37091,2,4.5
64150,2,3.5
82715,2,4.0
68836,2,5.0
124078,2,4.0
53113,2,3.5
30631,2,5.0
132295,2,3.5
40071,2,3.0
32215,2,3.5
31476,2,3.5
69498,2,5.0
53930,2,4.0
46645,2,5.0
103872,2,4.0
43354,2,2.5
104037,2,4.0
137805,2,0.5
57387,2,4.5
40652,2,3.0
59163,2,4.0
128111,2,4.5
93619,2,4.5
41518,2,4.0
130589,2,4.5
124425,2,2.5
28340,2,4.5
113540,2,5.0
10164,2,4.0
16559,2,5.0
57937,2,5.0
15415,2,5.0
41557,2,4.0
131439,2,3.5
47150,2,4.0
13700,2,4.5
79846,2,4.0
92861,2,3.5
49642,2,4.0
117861,2,5.0
136455,2,4.5
12778,2,4.0
16337,2,4.0
86449,2,5.0
115364,2,2.0
58802,2,4.0
17039,2,4.0
32386,2,4.0
62805,2,5.0
128426,2,5.0
61305,2,3.5
100540,2,4.0
41703,2,4.5
38605,2,4.5
127453,2,3.5
129008,2,4.0
35553,2,4.5
100728,2,4.0
10387,2,4.0
43618,2,5.0
92409,2,3.5
47566,2,3.5
79601,2,4.0
14382,2,3.5
105059,2,4.5
138200,2,4.0
34156,2,5.0
101004,2,4.0
35246,2,5.0
47573,2,4.0
34587,2,3.0
31362,2,3.5
121052,2,2.5
48098,2,5.0
71052,2,4.0
76630,2,4.0
53859,2,5.0
99429,2,4.0
94883,2,3.5
107087,2,4.5
975,2,4.0
34739,2,4.0
56392,2,5.0
9050,2,4.5
128236,2,5.0
5063,2,2.5
56246,2,3.5
137559,2,4.5
18877,2,3.5
34239,2,4.0
94175,2,3.5
101379,2,4.0
26932,2,3.0
120729,2,4.0
87042,2,3.0
4215,2,5.0
99471,2,2.5
42124,2,2.5
14328,2,4.0
39714,2,4.0
72971,2,5.0
74849,2,3.5
125084,2,3.0
45015,2,4.5
41613,2,4.5
98541,2,5.0
95147,2,4.5
48512,2,4.0
16883,2,4.5
95708,2,3.5
26022,2,3.0
45252,2,5.0
32234,2,5.0
68037,2,5.0
72832,2,3.0
89321,2,4.5
109347,2,4.0
36727,2,4.5
16126,2,4.5
117144,2,5.0
25268,2,4.5
12569,2,4.0
57916,2,4.0
97072,2,3.5
129005,2,5.0
58346,2,4.0
4347,2,3.5
10573,2,3.0
49830,2,5.0
98278,2,3.5
135418,2,4.5
98781,2,0.5
101785,2,4.5
359,2,4.0
55679,2,4.0
109177,2,4.0
76008,2,4.5
117918,2,3.5
103667,2,5.0
96482,2,3.5
121612,2,4.5
113940,2,5.0
111206,2,3.5
83556,2,3.5
68594,2,3.0
105214,2,5.0
72766,2,3.0
24884,2,3.0
97953,2,4.0
5475,2,4.0
57171,2,4.0
133811,2,5.0
134964,2,4.0
127890,2,3.5
26480,2,3.5
119197,2,4.0
75893,2,5.0
43068,2,4.0
112948,2,4.0
4629,2,4.0
104732,2,4.5
2945,2,5.0
70740,2,5.0
11343,2,3.5
97163,2,5.0
41941,2,4.0
35050,2,3.0
24200,2,3.5
50898,2,4.0
22377,2,4.0
65874,2,4.5
97881,2,5.0
27484,2,4.0
64655,2,4.0
38052,2,5.0
63551,2,5.0
42053,2,4.0
120572,2,4.0
60349,2,4.5
49455,2,5.0
18758,2,4.0
66362,2,3.5
81783,2,5.0
66455,2,4.0
79531,2,4.0
25411,2,5.0
128329,2,4.0
90462,2,5.0
19414,2,4.0
101921,2,2.0
65670,2,4.5
90216,2,4.5
86592,2,4.5
95524,2,3.5
117493,2,3.0
59424,2,5.0
54437,2,3.5
35983,2,4.5
115852,2,4.0
63902,2,2.5
2024,2,3.5
84752,2,2.5
42367,2,4.5
131616,2,4.0
107992,2,4.5
128590,2,3.5
42096,2,5.0
134521,2,4.0
45811,2,4.0
73445,2,5.0
41244,2,3.5
124849,2,4.5
55479,2,5.0
26172,2,4.0
98880,2,4.5
113673,2,4.5
24389,2,4.5
96610,2,0.5
131331,2,3.0
3076,2,3.0
68205,2,4.5
53007,2,5.0
59527,2,4.0
2702,2,4.0
28176,2,5.0
5611,2,4.5
62505,2,5.0
123707,2,4.0
102025,2,3.5
117007,2,5.0
16539,2,4.0
107991,2,4.0
35522,2,5.0
86589,2,5.0
40768,2,4.5
12999,2,3.5
134557,2,3.0
1738,2,4.0
73639,2,4.5
44086,2,0.5
131351,2,4.0
93705,2,4.0
58166,2,5.0
11513,2,2.5
2248,2,4.0
101137,2,5.0
70905,2,4.5
93710,2,4.0
119625,2,5.0
56308,2,3.5
89527,2,4.0
96370,2,4.0
134401,2,3.0
53413,2,4.5
44400,2,4.5
82202,2,4.5
78501,2,3.5
17022,2,3.5
21280,2,4.0
96977,2,4.5
42660,2,5.0
12649,2,5.0
85824,2,5.0
4483,2,5.0
68905,2,5.0
45669,2,4.0
110773,2,4.5
106512,2,4.5
23171,2,2.5
13215,2,3.0
104958,2,3.5
21860,2,4.0
21391,2,2.0
5450,2,3.5
113806,2,5.0
120782,2,4.5
117258,2,4.5
39271,2,5.0
31392,2,4.0
80285,2,3.5
22074,2,3.0
55704,2,3.5
129498,2,4.0
52056,2,4.5
71362,2,4.5
108285,2,3.5
84549,2,3.5
53834,2,4.5
